symbol,ticker,longName,p/e,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
ITCHOTELS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIOFIN.NS,JIOFIN.NS,Jio Financial Services Limited,121.28,0.64,0.66,1.27,1.24,1.14,0.74,35.41,36.15,133.15,-1.00,101.00,62.32,4799.08,133.15,36.15,62.32,-1.00,0.03,-1.00,17.17,32500704000.00,-100833900000.00,-87048296000.00,-2.68,1.11,0.81,886.59,831.71,0.14,635.31,311.70,1980273807820.80,0.02,95.02,458900000.00,-1.00,418000000.00,-1.00,-1.00,-101251900000.00,-627.88,-1.00,198027.39,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,1980273917952.00,16125900000.00,12486400000.00,1335099400000.00,100134200000.00,1391476600000.00,39700000000.00,0.00,142351300000.00,333000000.00,142018300000.00,-100833900000.00,418000000.00,-1.00,225200000.00,-1.00,3343200000.00,6353140224.00,392600000.00,66300000.00,0.00,0.48,0.21,0.40,191.00,311.70,361.00,325.00,343.00,343.00,10294966666.67,10827966666.67,,,,,,,,
LT.NS,LT.NS,Larsen & Toubro Limited,31.22,3.56,13.53,14.87,3.90,15.16,13.99,13.25,12.58,5.88,29.14,70.86,21.55,30.86,5.88,12.58,21.55,70.86,1.53,7.96,24.99,472362700000.00,91607100000.00,693675300000.00,1.47,4.42,3.04,21.01,17.76,1.49,137.54,3601.00,4952671360000.00,0.27,1.84,226013400000.00,51576100000.00,44188300000.00,40031000000.00,26.62,47418800000.00,31.53,0.78,495267.14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.44,4952671387648.00,150371100000.00,2542086500000.00,3795241000000.00,2641204200000.00,863592400000.00,1324089200000.00,755598300000.00,2453417100000.00,2019709000000.00,433708100000.00,91607100000.00,44188300000.00,38495700000.00,40982200000.00,33308400000.00,58914000000.00,1375360000.00,197994600000.00,28018800000.00,568490900000.00,0.17,0.50,0.60,241.00,3601.00,4550.00,3000.00,4050.90,4062.00,237499866666.67,128556466666.67,,,,,,,,
NETWEB.NS,NETWEB.NS,Netweb Technologies India Limited,96.65,19.96,48.70,29.40,17.28,29.28,38.30,23.29,23.20,10.36,6.60,93.40,20.70,203.80,10.36,23.20,20.70,93.40,0.02,36.35,25.65,2597670000.00,-132110000.00,374750000.00,0.14,18.69,0.92,71.64,66.93,1.35,5.67,2207.60,125069149640.00,0.00,9.61,586980000.00,212620000.00,254750000.00,-344730000.00,-30.11,-386860000.00,-33.79,0.09,12506.92,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.61,125069156352.00,1144750000.00,11490210000.00,8933600000.00,3630280000.00,4227520000.00,79490000.00,569570000.00,8253810000.00,3536320000.00,4717490000.00,-132110000.00,254750000.00,112740000.00,113430000.00,40900000.00,394930000.00,56653900.00,531030000.00,55950000.00,-490080000.00,0.71,0.09,0.31,42.00,2207.60,2510.00,2359.00,2434.50,2434.50,1107063333.33,791046666.67,,,,,,,,
TITAN.NS,TITAN.NS,Titan Company Limited,86.75,11.23,29.69,31.76,9.24,36.95,35.45,19.68,19.98,6.81,25.05,74.95,18.19,83.82,6.81,19.98,18.19,74.95,2.21,5.25,26.42,122560000000.00,-5410000000.00,18000000000.00,0.15,10.58,1.04,15.40,28.02,5.63,88.70,3628.80,3218908866969.60,0.06,5.05,38140000000.00,10510000000.00,4940000000.00,-15920000000.00,-47.71,-10350000000.00,-31.02,0.30,321890.89,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.94,3218908905472.00,33370000000.00,602980000000.00,406470000000.00,290230000000.00,93930000000.00,207770000000.00,3320000000.00,344340000000.00,257930000000.00,86410000000.00,-5410000000.00,4940000000.00,9760000000.00,6930000000.00,9530000000.00,11980000000.00,887044992.00,37210000000.00,930000000.00,204450000000.00,0.58,0.19,0.46,262.00,3628.80,4615.00,3200.00,3941.11,3932.00,51590000000.00,33610000000.00,,,,,,,,
HDFCAMC.NS,HDFCAMC.NS,HDFC Asset Management Company Limited,45.10,25.25,26.97,29.47,27.58,38.90,34.24,21.84,19.10,70.39,58.82,41.18,38.55,515.19,70.39,19.10,38.55,41.18,-1.00,290.48,25.12,72193800000.00,20748000000.00,60925700000.00,0.84,32.57,2.10,20.78,18.26,2.17,21.39,5463.00,1168748800704.00,-1.00,27.10,1826400000.00,1035000000.00,447900000.00,19713000000.00,80.13,20300100000.00,82.51,1.28,116874.88,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.95,1168748838912.00,24601900000.00,34984400000.00,87506600000.00,6206800000.00,70750100000.00,-1.00,354000000.00,22650500000.00,2796100000.00,19854400000.00,20748000000.00,447900000.00,14950500000.00,585400000.00,94100000.00,8253900000.00,213939008.00,1826400000.00,0.00,-1.00,0.54,0.28,0.61,228.00,5463.00,6680.00,4600.00,5759.08,5800.00,25529500000.00,19420833333.33,,,,,,,,
HDFCLIFE.NS,HDFCLIFE.NS,HDFC Life Insurance Company Limited,88.95,0.57,10.30,11.75,0.56,-1.00,0.65,269.43,285.36,1.87,29.74,70.26,0.00,374.30,1.87,285.36,0.00,70.26,0.20,0.00,3.57,60801102000.00,0.00,0.00,0.00,0.60,1.09,9.02,10.12,9.86,215.55,772.05,1664115258969.59,0.02,1.67,6637400000.00,2918900000.00,3007200000.00,-2918900000.00,-16.12,-3007200000.00,-16.61,-1.00,166411.53,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00,1664115277824.00,18108200000.00,900685300000.00,3494115800000.00,3332569600000.00,146663400000.00,29500000000.00,0.00,0.00,0.00,0.00,0.00,3007200000.00,-1.00,0.00,1418500000.00,671200000.00,2155450112.00,5545700000.00,1091700000.00,0.00,0.56,0.27,0.61,235.00,772.05,975.00,700.00,868.55,890.00,16989537333.33,15843923666.67,,,,,,,,
ICICIGI.NS,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,34.33,3.25,17.28,16.94,3.24,-1.00,4.60,37.89,37.83,9.40,0.00,100.00,0.00,355.58,9.40,37.83,0.00,100.00,-1.00,0.00,24.48,74269407000.00,0.00,0.00,0.00,3.96,2.75,25.11,14.57,1.37,49.66,1839.60,913611585600.00,-1.00,3.68,7279200000.00,-265500000.00,2311500000.00,265500000.00,1.06,-2311500000.00,-9.22,0.00,91375.87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00,913758748672.00,25082900000.00,249005800000.00,690202600000.00,545350900000.00,122050000000.00,-1.00,0.00,0.00,0.00,0.00,0.00,2311500000.00,0.00,0.00,1013200000.00,8130200000.00,496636000.00,6539000000.00,740200000.00,0.00,0.00,0.83,0.83,205.00,1839.60,2400.00,1450.00,2120.46,2220.00,27550355333.33,20519773000.00,,,,,,,,
INDIACEM.NS,INDIACEM.NS,The India Cements Limited,inf,-1.57,-3.09,-4.01,-2.05,0.64,-0.61,0.44,0.63,-3.43,-11.43,111.43,2.87,-5.27,-3.43,0.63,2.87,111.43,0.21,-2.23,31.99,-4194475000.00,-2562175000.00,5072247000.00,-1.21,-1.34,-1.22,-1.00,-5.13,-1.00,30.99,381.50,118225702448.00,0.10,2.85,120272073000.00,45476567000.00,624253000.00,-48038742000.00,3343.50,-3186428000.00,221.78,-1.00,11822.57,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18.75,118225698816.00,-1436778000.00,41487761000.00,138302190000.00,36340192000.00,55747181000.00,11651562000.00,-1.00,17105089000.00,12504831000.00,4600258000.00,-2562175000.00,624253000.00,-1.00,2394387000.00,2629366000.00,-584952000.00,309896992.00,118020924000.00,2251149000.00,-1.00,0.82,0.08,0.45,31.00,381.50,450.00,115.00,281.67,280.00,-429524333.33,-1659700333.33,,,,,,,,
INFY.NS,INFY.NS,Infosys Limited,21.77,19.61,31.65,32.10,19.90,36.24,37.59,8.46,7.83,16.60,63.18,36.82,23.17,24.71,16.60,7.83,23.17,36.82,0.09,83.20,28.90,12269000000.00,4351000000.00,13697000000.00,1.12,19.11,0.05,2.78,5.73,7.83,414.53,1469.60,6091888815513.60,0.00,312.34,2354000000.00,546000000.00,263000000.00,3805000000.00,120.49,4088000000.00,129.45,0.04,609188.89,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.87,6091888918528.00,3158000000.00,19277000000.00,17419000000.00,6164000000.00,10559000000.00,962000000.00,11000000.00,11359000000.00,5012000000.00,6347000000.00,4351000000.00,263000000.00,2416000000.00,569000000.00,49000000.00,1285000000.00,4145270016.00,2235000000.00,119000000.00,951000000.00,0.15,0.49,0.58,376.00,1469.60,2085.00,1440.00,1748.14,1770.00,4352666666.67,3102000000.00,,,,,,,,
LAURUSLABS.NS,LAURUSLABS.NS,Laurus Labs Limited,91.16,6.40,12.66,3.94,2.00,11.92,14.41,1.32,1.45,7.62,26.44,73.56,9.86,-1.74,7.62,1.45,9.86,73.56,0.67,3.03,26.82,21365000000.00,6016500000.00,31723400000.00,1.48,4.27,0.77,-24.45,4.06,-3.73,53.98,856.90,462576063065.60,0.06,7.80,47743200000.00,7340400000.00,6410000000.00,-1323900000.00,-36.95,-393500000.00,-10.98,0.09,46257.61,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.22,462576091136.00,3583200000.00,55078600000.00,93355700000.00,47330500000.00,41109500000.00,27637300000.00,22100000.00,43323200000.00,35397200000.00,7926000000.00,6016500000.00,6410000000.00,431300000.00,4300900000.00,2065900000.00,1298800000.00,539825024.00,43159600000.00,4583600000.00,27615200000.00,0.32,0.33,0.48,86.00,856.90,1025.00,293.00,694.85,675.00,7769433333.33,4363266666.67,1174500000.00,308240000.00,7153560000.00,42284000000.00,0.65,69899200000.00,7.49,8.47
MOTHERSON.NS,MOTHERSON.NS,Samvardhana Motherson International Limited,29.26,3.12,9.06,11.18,3.70,13.50,11.22,4.44,4.41,2.69,17.00,83.00,17.57,-7.73,2.69,4.41,17.57,83.00,0.66,3.66,21.20,88886500000.00,62862000000.00,209608000000.00,2.36,4.47,3.88,48.78,21.38,0.60,1055.44,92.75,978920576256.00,0.18,0.85,293800000000.00,72540000000.00,45610000000.00,-9678000000.00,-25.45,17252000000.00,45.36,0.59,97892.06,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.15,978920603648.00,38030000000.00,1125409000000.00,928473000000.00,557188000000.00,261549000000.00,172217000000.00,14543000000.00,433079000000.00,420753000000.00,12326000000.00,62862000000.00,45610000000.00,5751000000.00,44934000000.00,15908000000.00,11156000000.00,10554399744.00,266046000000.00,27754000000.00,157674000000.00,0.58,0.24,0.57,166.00,92.75,130.00,73.33,107.46,113.00,49490333333.33,26716000000.00,3168200000.00,688000000.00,69914000000.00,264717200000.00,0.65,422391200000.00,13.04,14.37
MSUMI.NS,MSUMI.NS,Motherson Sumi Wiring India Limited,45.17,18.17,38.76,35.90,17.64,43.19,43.69,14.64,14.75,7.06,52.71,47.29,22.99,26.25,7.06,14.75,22.99,47.29,0.16,33.06,24.78,21418600000.00,3648200000.00,18802600000.00,0.88,19.30,2.20,13.78,18.39,3.28,663.17,41.56,275611790929.92,0.01,2.88,7639600000.00,2935500000.00,1718400000.00,712700000.00,11.76,1929800000.00,31.85,1.28,27561.18,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.20,275611811840.00,6058600000.00,92715800000.00,37287800000.00,20304700000.00,16768000000.00,2691600000.00,692800000.00,28529600000.00,18068300000.00,10461300000.00,3648200000.00,1718400000.00,3528300000.00,1788900000.00,247500000.00,1995500000.00,6631660032.00,7272900000.00,366700000.00,1998800000.00,0.62,0.21,0.54,57.00,41.56,57.00,37.33,45.64,46.00,7942333333.33,5770533333.33,,,,,,,,
TATAMOTORS.NS,TATAMOTORS.NS,Tata Motors Limited,10.98,4.80,26.79,48.22,8.89,19.37,15.43,4.56,4.35,4.79,5.36,94.64,27.19,-7.46,4.79,4.35,27.19,94.64,0.87,0.80,31.09,502018200000.00,631020000000.00,1806878400000.00,3.60,7.51,11.30,-1.00,16.65,-1.00,368.17,669.00,2463064043520.00,0.30,0.56,1171430000000.00,367830000000.00,380420000000.00,263190000000.00,94.57,250600000000.00,90.05,0.94,246306.41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.42,2463064129536.00,278300000000.00,4368210000000.00,3786420000000.00,2558880000000.00,849180000000.00,740040000000.00,28360000000.00,1603250000000.00,1780310000000.00,-177060000000.00,631020000000.00,380420000000.00,23030000000.00,232560000000.00,50830000000.00,105020000000.00,3681710080.00,991050000000.00,180380000000.00,711680000000.00,0.44,0.24,0.43,232.00,669.00,1300.00,575.00,746.73,720.00,295018033333.33,205477633333.33,295641760000.00,83092920000.00,412697080000.00,1144821760000.00,0.65,1856501760000.00,15.32,24.31
TATAPOWER.NS,TATAPOWER.NS,Tata Power Company Limited,29.48,2.76,12.56,12.09,2.76,9.60,10.38,0.76,0.83,6.16,16.71,83.29,5.26,-1.01,6.16,0.83,5.26,83.29,2.10,2.22,24.44,127451500000.00,126801900000.00,390428800000.00,3.06,2.85,3.32,32.33,15.29,0.91,319.53,374.15,1195536472972.80,0.57,1.81,1073571300000.00,204247200000.00,172728400000.00,-77445300000.00,-195.03,-45926500000.00,-115.65,0.53,119553.64,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.61,1195536416768.00,39710000000.00,641277500000.00,1567102200000.00,1141041800000.00,323552900000.00,679958200000.00,19413000000.00,299018600000.00,453830800000.00,-154812200000.00,126801900000.00,172728400000.00,6390700000.00,41168600000.00,43624900000.00,15442500000.00,3195340032.00,913542000000.00,160029300000.00,660545200000.00,0.47,0.20,0.38,133.00,374.15,560.00,265.00,420.26,433.00,100550766666.67,36678966666.67,,,,,,,,